"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"hg38.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","hg38 CTCF motifs detected using human PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","CTCF",""
"hg38.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","hg38 CTCF motifs detected using human PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"hg38.Jolma2013.RData","hg38 CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.Jolma2013.RData","CTCF",""
"hg38.MA0139.1.RData","hg38 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.MA0139.1.RData","CTCF",""
"hg38.SCREEN.GRCh38_CTCF.RData","hg38 CTCF-bound human cis-regulatory elements from https://screen.encodeproject.org/","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"ENCODE SCREEN v3","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.SCREEN.GRCh38_CTCF.RData","CTCF",""
"hg38.SwissRegulon_human_and_mouse.RData","hg38 CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","hg38","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg38.SwissRegulon_human_and_mouse.RData","CTCF",""
"hg19.CIS_BP_2.00_Homo_sapiens.RData","hg19 CTCF motifs detected using human PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.CIS_BP_2.00_Homo_sapiens.RData","CTCF",""
"hg19.CTCFBSDB.CTCF_predicted_human.RData","hg19 CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.CTCFBSDB.CTCF_predicted_human.RData","CTCF",""
"hg19.CTCFBSDB_PWM.RData","hg19 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.CTCFBSDB_PWM.RData","CTCF",""
"hg19.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","hg19 CTCF motifs detected using human PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.HOCOMOCOv11_core_HUMAN_mono_meme_format.RData","CTCF",""
"hg19.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","hg19 CTCF motifs detected using human PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"hg19.Jolma2013.RData","hg19 CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.Jolma2013.RData","CTCF",""
"hg19.MA0139.1.RData","hg19 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.MA0139.1.RData","CTCF",""
"hg19.SwissRegulon_human_and_mouse.RData","hg19 CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","hg19","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg19.SwissRegulon_human_and_mouse.RData","CTCF",""
"hg18.CTCFBSDB.CTCF_predicted_human.RData","hg18 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","hg18","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg18.CTCFBSDB.CTCF_predicted_human.RData","CTCF",""
"hg18.MA0139.1.RData","hg18 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","hg18","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Homo sapiens",9606,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/hg18.MA0139.1.RData","CTCF",""
"mm39.CIS_BP_2.00_Mus_musculus.RData","mm39 CTCF motifs detected using mouse PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.CIS_BP_2.00_Mus_musculus.RData","CTCF",""
"mm39.CTCFBSDB_PWM.RData","mm39 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.CTCFBSDB_PWM.RData","CTCF",""
"mm39.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","mm39 CTCF motifs detected using mouse PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","CTCF",""
"mm39.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","mm39 CTCF motifs detected using mouse PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"mm39.Jolma2013.RData","mm39 CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.Jolma2013.RData","CTCF",""
"mm39.MA0139.1.RData","mm39 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.MA0139.1.RData","CTCF",""
"mm39.SwissRegulon_human_and_mouse.RData","mm39 CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","mm39","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm39.SwissRegulon_human_and_mouse.RData","CTCF",""
"mm10.CIS_BP_2.00_Mus_musculus.RData","mm10 CTCF motifs detected using mouse PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.CIS_BP_2.00_Mus_musculus.RData","CTCF",""
"mm10.CTCFBSDB.CTCF_predicted_mouse.RData","mm10 CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.CTCFBSDB.CTCF_predicted_mouse.RData","CTCF",""
"mm10.CTCFBSDB_PWM.RData","mm10 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.CTCFBSDB_PWM.RData","CTCF",""
"mm10.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","mm10 CTCF motifs detected using mouse PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","CTCF",""
"mm10.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","mm10 CTCF motifs detected using mouse PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"mm10.Jolma2013.RData","mm10 CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.Jolma2013.RData","CTCF",""
"mm10.MA0139.1.RData","mm10 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.MA0139.1.RData","CTCF",""
"mm10.SCREEN.mm10_CTCF.RData","mm10 CTCF-bound mouse cis-regulatory elements from https://screen.encodeproject.org/","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"ENCODE SCREEN v3","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.SCREEN.mm10_CTCF.RData","CTCF",""
"mm10.SwissRegulon_human_and_mouse.RData","mm10 CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","mm10","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm10.SwissRegulon_human_and_mouse.RData","CTCF",""
"mm9.CIS_BP_2.00_Mus_musculus.RData","mm9 CTCF motifs detected using mouse PWM matrices from http://cisbp.ccbr.utoronto.ca/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CIS-BP","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.CIS_BP_2.00_Mus_musculus.RData","CTCF",""
"mm9.CTCFBSDB.CTCF_predicted_mouse.RData","mm9 CTCF motifs detected using PWM matrices from https://insulatordb.uthsc.edu/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.CTCFBSDB.CTCF_predicted_mouse.RData","CTCF",""
"mm9.CTCFBSDB_PWM.RData","mm9 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.CTCFBSDB_PWM.RData","CTCF",""
"mm9.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","mm9 CTCF motifs detected using mouse PWM matrices from https://hocomoco11.autosome.org/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"HOCOMOCO v11","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.HOCOMOCOv11_core_MOUSE_mono_meme_format.RData","CTCF",""
"mm9.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","mm9 CTCF motifs detected using mouse PWM matrices from https://jaspar.genereg.net/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.JASPAR2022_CORE_vertebrates_non_redundant_v2.RData","CTCF",""
"mm9.Jolma2013.RData","mm9 CTCF motifs detected using PWM matrices from DOI:10.1016/j.cell.2012.12.009, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"Jolma 2013","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.Jolma2013.RData","CTCF",""
"mm9.MA0139.1.RData","mm9 CTCF motifs detected using MA0139.1 PWM matrix from https://jaspar.genereg.net/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"JASPAR 2022","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.MA0139.1.RData","CTCF",""
"mm9.SwissRegulon_human_and_mouse.RData","mm9 CTCF motifs detected using PWM matrices from https://swissregulon.unibas.ch/sr/, by FIMO","3.15","mm9","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"SwissRegulon","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm9.SwissRegulon_human_and_mouse.RData","CTCF",""
"mm8.CTCFBSDB.CTCF_predicted_mouse.RData","mm8 CTCF predicted motifs from https://insulatordb.uthsc.edu/","3.15","mm8","RData","https://drive.google.com/drive/folders/19ZXr7IETfks0OdYlmuc1Hqe700Pw3jPc?usp=sharing","July 20, 2022","Mus musculus",10090,TRUE,"CTCFBSDB 2.0","Mikhail Dozmorov <mikhail.dozmorov@gmail.com>","GRanges","Rda","CTCF/mm8.CTCFBSDB.CTCF_predicted_mouse.RData","CTCF",""
